,wall_time,name,step,value
2,1677500600.0274627,ds_name/text_summary,0,0.0
3,1677500600.027529,name_fn/text_summary,0,0.0
4,1677500600.0275693,image_size/text_summary,0,0.0
5,1677500600.0276036,batch_size/text_summary,0,0.0
6,1677500600.0276399,epoch_steps/text_summary,0,0.0
7,1677500600.0276732,enable_proxy_attention/text_summary,0,0.0
8,1677500600.0277088,change_subset_attention/text_summary,0,0.0
9,1677500600.0277421,num_gpu/text_summary,0,0.0
10,1677500600.0277755,num_cpu/text_summary,0,0.0
11,1677500600.028083,transfer_imagenet/text_summary,0,0.0
12,1677500600.032746,subset_images/text_summary,0,0.0
13,1677500600.0362718,proxy_threshold/text_summary,0,0.0
14,1677500600.0401468,pixel_replacement_method/text_summary,0,0.0
15,1677500600.043887,model/text_summary,0,0.0
16,1677500600.04773,proxy_steps/text_summary,0,0.0
17,1677500600.051925,load_proxy_data/text_summary,0,0.0
18,1677500600.0558817,gradient_method/text_summary,0,0.0
19,1677500600.0596762,clear_every_step/text_summary,0,0.0
20,1677500600.0640645,fname_start/text_summary,0,0.0
21,1677500600.067887,device/text_summary,0,0.0
22,1677500600.0715475,global_run_count/text_summary,0,0.0
23,1677500600.0752165,label_map/text_summary,0,0.0
24,1677500600.078959,rev_label_map/text_summary,0,0.0
25,1677500600.0827997,num_classes/text_summary,0,0.0
26,1677500614.988185,proxy_step,1,0.0
27,1677500614.9882681,Loss/Train,1,1.2242544889450073
28,1677500614.9884336,Acc/Train,1,0.6869999766349792
29,1677500628.945661,proxy_step,1,0.0
30,1677500628.9457753,Loss/Val,1,0.1883036345243454
31,1677500628.9460042,Acc/Val,1,0.974399983882904
0,1677500630.937061,experiment_name/text_summary,0,0.0
1,1677500630.9371645,ds_path/text_summary,0,0.0
2,1677500630.9372096,ds_name/text_summary,0,0.0
3,1677500630.9372532,name_fn/text_summary,0,0.0
4,1677500630.9372895,image_size/text_summary,0,0.0
5,1677500630.9373238,batch_size/text_summary,0,0.0
6,1677500630.9373605,epoch_steps/text_summary,0,0.0
7,1677500630.937395,enable_proxy_attention/text_summary,0,0.0
8,1677500630.937432,change_subset_attention/text_summary,0,0.0
9,1677500630.9374661,num_gpu/text_summary,0,0.0
10,1677500630.937499,num_cpu/text_summary,0,0.0
11,1677500630.9377363,transfer_imagenet/text_summary,0,0.0
12,1677500630.9417622,subset_images/text_summary,0,0.0
13,1677500630.9457095,proxy_threshold/text_summary,0,0.0
14,1677500630.9499962,pixel_replacement_method/text_summary,0,0.0
15,1677500630.9540925,model/text_summary,0,0.0
16,1677500630.9580698,proxy_steps/text_summary,0,0.0
17,1677500630.9622107,load_proxy_data/text_summary,0,0.0
18,1677500630.9662552,gradient_method/text_summary,0,0.0
19,1677500630.9700654,clear_every_step/text_summary,0,0.0
20,1677500630.9737697,fname_start/text_summary,0,0.0
21,1677500630.9776604,device/text_summary,0,0.0
22,1677500630.981487,global_run_count/text_summary,0,0.0
23,1677500630.9848933,label_map/text_summary,0,0.0
24,1677500630.988272,rev_label_map/text_summary,0,0.0
25,1677500630.991652,num_classes/text_summary,0,0.0
26,1677500645.7021196,proxy_step,1,0.0
27,1677500645.7022092,Loss/Train,1,1.2526623010635376
28,1677500645.7024853,Acc/Train,1,0.6880000233650208
29,1677500659.928323,proxy_step,1,0.0
30,1677500659.9284067,Loss/Val,1,0.28221848607063293
31,1677500659.9286723,Acc/Val,1,0.926800012588501
0,1677500661.8738377,experiment_name/text_summary,0,0.0
1,1677500661.873942,ds_path/text_summary,0,0.0
2,1677500661.8739877,ds_name/text_summary,0,0.0
3,1677500661.8740318,name_fn/text_summary,0,0.0
4,1677500661.8740685,image_size/text_summary,0,0.0
5,1677500661.8741038,batch_size/text_summary,0,0.0
6,1677500661.8741405,epoch_steps/text_summary,0,0.0
7,1677500661.8741755,enable_proxy_attention/text_summary,0,0.0
8,1677500661.874213,change_subset_attention/text_summary,0,0.0
9,1677500661.8742483,num_gpu/text_summary,0,0.0
10,1677500661.8742826,num_cpu/text_summary,0,0.0
11,1677500661.8745055,transfer_imagenet/text_summary,0,0.0
12,1677500661.8787055,subset_images/text_summary,0,0.0
13,1677500661.8824883,proxy_threshold/text_summary,0,0.0
14,1677500661.8865502,pixel_replacement_method/text_summary,0,0.0
15,1677500661.8906856,model/text_summary,0,0.0
16,1677500661.8949153,proxy_steps/text_summary,0,0.0
17,1677500661.8994236,load_proxy_data/text_summary,0,0.0
18,1677500661.9035385,gradient_method/text_summary,0,0.0
19,1677500661.9074028,clear_every_step/text_summary,0,0.0
20,1677500661.9114747,fname_start/text_summary,0,0.0
21,1677500661.9156244,device/text_summary,0,0.0
22,1677500661.9193666,global_run_count/text_summary,0,0.0
23,1677500661.9231627,label_map/text_summary,0,0.0
24,1677500661.9272819,rev_label_map/text_summary,0,0.0
25,1677500661.9309533,num_classes/text_summary,0,0.0
26,1677500676.3312213,proxy_step,1,0.0
27,1677500676.3313067,Loss/Train,1,1.2954164743423462
28,1677500676.3315704,Acc/Train,1,0.6773999929428101
29,1677500690.436198,proxy_step,1,0.0
30,1677500690.4362926,Loss/Val,1,0.26343223452568054
31,1677500690.4365802,Acc/Val,1,0.9323999881744385
0,1677500692.478638,experiment_name/text_summary,0,0.0
1,1677500692.4787412,ds_path/text_summary,0,0.0
2,1677500692.478786,ds_name/text_summary,0,0.0
